"Total Time","Mean Performance","Wallclock Time","Incumbent ID","Automatic Configurator Time","Configuration..."
0.1067, 100000000, 0.0003, 0, 0.1067, pc='0.95', pm='0.1'
0.2077, -705.0, 1.0913, 0, 0.1077, pc='0.95', pm='0.1'
0.9156, -641.0, 330.0235, 0, 0.1156, pc='0.95', pm='0.1'
2.0278, -659.0, 3172.7720, 0, 0.1278, pc='0.95', pm='0.1'
2.5336, -724.25, 4747.1478, 0, 0.1336, pc='0.95', pm='0.1'
3.1406, -697.6, 5541.7723, 0, 0.1406, pc='0.95', pm='0.1'
3.8488, -700.8333333333334, 6669.9942, 0, 0.1488, pc='0.95', pm='0.1'
4.6583, -693.5714285714286, 7692.2575, 0, 0.1583, pc='0.95', pm='0.1'
5.4681, -721.875, 8942.4389, 0, 0.1681, pc='0.95', pm='0.1'
6.3789, -713.8888888888889, 10044.3188, 0, 0.1789, pc='0.95', pm='0.1'
7.2905, -700.2, 12031.6768, 0, 0.1905, pc='0.95', pm='0.1'
8.4065, -699.7272727272727, 15307.5805, 0, 0.2065, pc='0.95', pm='0.1'
9.7230, -700.1666666666666, 18594.3543, 0, 0.2230, pc='0.95', pm='0.1'
11.1408, -701.4615384615385, 21354.2582, 0, 0.2408, pc='0.95', pm='0.1'
12.4581, -693.5714285714286, 22951.1216, 0, 0.2581, pc='0.95', pm='0.1'
13.8774, -693.6666666666666, 25091.4692, 0, 0.2774, pc='0.95', pm='0.1'
15.4998, -686.375, 31017.9182, 0, 0.2998, pc='0.95', pm='0.1'
17.3251, -688.1764705882352, 37950.3512, 0, 0.3251, pc='0.95', pm='0.1'
19.2519, -686.0555555555555, 43937.8808, 0, 0.3519, pc='0.95', pm='0.1'
21.0773, -687.0526315789474, 46942.9789, 0, 0.3773, pc='0.95', pm='0.1'
23.2065, -682.25, 49860.7759, 0, 0.4065, pc='0.95', pm='0.1'
23.3094, -682.25, 50137.7815, 19, 0.4094, pc='0.8', pm='0.05'
26.0496, -693.5714285714286, 55340.5924, 19, 0.4496, pc='0.8', pm='0.05'
