id_student;id_course
1;2
1;10
1;11
1;3
1;12
1;9
2;1
2;9
2;12
2;5
2;10
2;6
2;3
3;10
3;5
3;11
3;6
3;2
3;9
4;9
4;1
4;2
4;4
4;11
4;7
5;8
5;9
5;1
5;10
5;6
5;12
5;2
6;1
6;10
6;11
6;9
6;8
6;3
6;5
7;10
7;9
7;3
7;1
7;6
7;5
8;6
8;1
8;5
8;10
8;3
8;11
8;7
9;10
9;5
9;3
9;6
9;8
9;1
9;12
10;10
10;9
10;3
10;1
10;11
11;1
11;7
11;12
11;11
11;2
11;3
11;9
12;4
12;11
12;2
12;3
12;6
12;5
13;2
13;6
13;11
13;10
13;9
13;12
13;3
14;12
14;6
14;5
14;3
14;1
14;10
14;2
15;1
15;4
15;10
15;12
15;7
16;3
16;2
16;4
16;9
16;6
17;4
17;10
17;2
17;1
17;3
17;12
18;5
18;11
18;2
18;6
18;12
18;9
19;2
19;11
19;5
19;9
19;1
20;10
20;6
20;5
20;3
20;2
20;9
20;1
21;12
21;1
21;3
21;8
21;6
21;9
21;10
22;6
22;3
22;9
22;10
22;1
22;8
22;12
23;6
23;1
23;2
23;12
23;5
23;4
23;11
24;3
24;9
24;10
24;8
24;1
25;7
25;11
25;1
25;6
25;10
25;2
25;9
26;11
26;5
26;10
26;3
26;9
27;5
27;9
27;2
27;6
27;7
27;3
28;7
28;6
28;1
28;11
28;8
28;5
29;5
29;11
29;10
29;1
29;4
29;9
29;8
30;10
30;1
30;8
30;9
30;11
30;2
30;5
31;9
31;4
31;2
31;1
31;3
31;5
31;8
32;9
32;1
32;10
32;5
32;6
32;2
33;3
33;10
33;1
33;5
33;9
33;12
33;7
34;8
34;5
34;2
34;1
34;9
34;6
35;9
35;5
35;1
35;3
35;6
35;8
35;2
36;3
36;9
36;2
36;8
36;6
36;5
36;12
37;3
37;7
37;11
37;1
37;2
38;4
38;6
38;3
38;11
38;10
38;2
38;1
39;5
39;12
39;10
39;9
39;11
39;6
40;10
40;6
40;5
40;3
40;1
40;11
40;4
41;3
41;1
41;11
41;8
41;2
41;5
41;10
42;2
42;1
42;6
42;10
42;11
43;10
43;3
43;11
43;6
43;9
43;5
43;2
44;1
44;9
44;7
44;10
44;11
45;10
45;4
45;1
45;5
45;9
46;1
46;7
46;10
46;2
46;11
46;6
46;3
47;4
47;1
47;11
47;2
47;12
48;5
48;10
48;4
48;12
48;9
49;6
49;5
49;9
49;10
49;1
49;3
50;1
50;11
50;9
50;12
50;6
50;2
51;3
51;8
51;6
51;10
51;11
51;12
51;5
52;10
52;2
52;6
52;11
52;9
52;3
53;12
53;9
53;1
53;4
53;2
54;6
54;3
54;2
54;1
54;8
55;11
55;1
55;4
55;2
55;5
55;9
56;3
56;8
56;9
56;7
56;4
56;11
57;9
57;5
57;2
57;10
57;6
58;5
58;2
58;10
58;1
58;9
59;8
59;2
59;1
59;4
59;10
59;5
59;9
60;10
60;9
60;4
60;7
60;3
60;5
61;1
61;6
61;11
61;10
61;8
62;3
62;5
62;6
62;4
62;11
62;1
63;1
63;11
63;5
63;2
63;3
63;12
64;3
64;12
64;10
64;6
64;2
64;5
64;11
65;8
65;1
65;12
65;11
65;4
65;10
65;7
66;12
66;10
66;9
66;1
66;3
66;2
66;6
67;10
67;6
67;5
67;2
67;1
67;3
67;9
68;10
68;2
68;9
68;4
68;12
68;5
68;1
69;10
69;1
69;3
69;9
69;6
69;5
69;12
70;10
70;1
70;12
70;11
70;5
71;5
71;8
71;1
71;6
71;10
71;2
72;5
72;2
72;9
72;10
72;8
72;7
73;2
73;5
73;11
73;10
73;4
74;12
74;2
74;1
74;3
74;4
75;1
75;2
75;10
75;7
75;12
75;8
75;11
76;6
76;11
76;10
76;1
76;3
77;7
77;1
77;5
77;10
77;3
77;11
78;10
78;11
78;2
78;8
78;1
78;9
78;6
79;6
79;8
79;9
79;11
79;1
80;4
80;10
80;12
80;6
80;1
80;11
81;6
81;12
81;10
81;9
81;5
81;2
81;3
82;5
82;10
82;1
82;9
82;2
83;2
83;1
83;4
83;5
83;11
83;6
83;3
84;2
84;5
84;12
84;1
84;10
